0.06 GFlop/s, -- 0.008 msec, -- 512 Ops, -- MatrixB(1,16)
0.25 GFlop/s, -- 0.008 msec, -- 2048 Ops, -- MatrixB(1,32)
3.90 GFlop/s, -- 0.008 msec, -- 32768 Ops, -- MatrixB(1,128)
15.86 GFlop/s, -- 0.008 msec, -- 131072 Ops, -- MatrixB(1,256)
62.74 GFlop/s, -- 0.008 msec, -- 524288 Ops, -- MatrixB(1,512)
249.37 GFlop/s, -- 0.008 msec, -- 2097152 Ops, -- MatrixB(1,1024)
1011.63 GFlop/s, -- 0.008 msec, -- 8388608 Ops, -- MatrixB(1,2048)
4123.17 GFlop/s, -- 0.008 msec, -- 33554432 Ops, -- MatrixB(1,4096)
16925.48 GFlop/s, -- 0.008 msec, -- 134217728 Ops, -- MatrixB(1,8192)
67803.17 GFlop/s, -- 0.008 msec, -- 536870912 Ops, -- MatrixB(1,16384)
1124643.18 GFlop/s, -- 0.008 msec, -- 8450000000 Ops, -- MatrixB(1,65000)
